"","Ad ID","Ad Text","Ad Landing Page","Ad Targeting Location","Ad Impressions","Ad Clicks","Ad Spend","Ad Creation Date","date","numeric_date"
"268"," 777                             "," A New Orleans judge ordered to release seven inmates awaiting trial because                                          the Louisiana doesn't have money to defend them. Some of them have spent                                           more than half a year awaiting a trial, but the city failed to provide the legal                                           help to them. Each year the budget is shredding, but the Louisiana remains                                          the state with the highest incarceration rate.                                          Each year the system incarcerates thousands of black men and women for                                           minor violations, but they let go the murderers and rapists. What is wrong with                                          our country???                 "," https://www.facebook.comnWil liam sKalvin-788980617892144/                      ",": United States                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          People Who Match: People who like Williams&Kalvin, Friends of connections:                                          Friends of people who are connected to Williams&Kalvin                   "," 653                           "," 73                           "," 100.00 RUB                 "," 04/12/16 09:29:36 AM PDT                      Ad End Date 04/13/16 09:29:35 AM PDT ",2016-04-12,16903
"269"," 1237                             "," ANOTHER BLACK MAN MURDERED IN POLICE CUSTODY. THINGS                                           HAVE BEEN VERY SILENT ON HIS BEHALF                                          The 31-year-old black man died Feb. 20 at Fairfield Medical center after he                                           had a °medical episode' at the jail when deputies were moving Ariel J. Clark                                          from one cell to another. According to police reports; Ariel J. Clark, 31 was                                          too combative with officers and was threatening to kill them during his arrest.                                          On February 17, a motorist called 911 after interacting with Clark; reporting                                          that Clark, who was driving his wife and two children from Buffulo to Texas,                                          was threatening to kill him and his son. Clark's wife said that a man and his                                          son began to argue with her husband, who had been acting wierd because he                                           hadn't slept in five days. When the police arrived. Clark was arrested, taken                                          to the Fairfield County Jail where he was placed in a restraint chair for his                                          combative behavior. Three days after arriving in jail, Clark had some                                           breathing difficulties and deputies started chest compression. But an hour                                          later he was pronounced dead at a local hospital.                                          An investigation has been opened after the death of a Fairfield County Jail                                          inmate.                                           Now the question is whether the jail's standard operating procedures were                                          followed.                                          We would like to see a true picture of what he looked like after ""fighting"" with                                          the police. Also, we would like to see the picture of him when he arrived at                                           hospital. For now the only thing we know is that another black man died in                                           police custody.                 "," https://www.facebook.com/Blacktivist-128371547505950/                      "," - Living In: United States                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          People Who Match: People who like Blacktivist, Friends of connections:                                           Friends of people who are connected to Blacktivist                   "," 54                           "," 6                           "," 51.87 RUB                 "," 04/07/16 07:44:35 AM PDT                      Ad End Date 04/08/16 07:44:34 AM PDT ",2016-04-07,16898
"270"," 1429                            "," Stop police terror with us! Join                                          need to unite!               ","                     "," - Living In: United States: San Francisco (+25 mi) California                                          Age: 20 - 35                                          Language: English (UK) or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                  "," 13, 193                          "," 294                         "," 8,449.32 RUB               "," 04/12/16 03:08:57 AM PDT                     Ad End Date 04/20/16 09:00:00 PM PDT ",2016-04-12,16903
"271"," 1691                             "," BlackMatters is a nonprofit news outlet that delivers raw and original                                          information on the most urgent issues important to the African-American                                          community in America. Join us!                 "," https://www.facebook.com/Blackluive-1725227467722991/                      ",": United States                                          Age: 13 - 65+                                          Language: English (US)                                          Placements: Instagram Feed                   "," 37,539                           "," 19                           "," 3,046.37 RUB                 "," 04/06/16 06:34:47 AM PDT ",2016-04-06,16897
"272"," 1738                             "," As long as he has candy, I'd be fine with it                 "," https://www.facebook.com/Memopolis-450474615151098/                      ",": United States                                           Interests: CollegeHumor, BuzzFeed or 9GAG                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 26                           "," 1                           "," 66.67 RUB                 "," 04/22/16 08:10:43 AM PDT                      Ad End Date 04/25/16 08:10:43 AM PDT ",2016-04-22,16913
"273"," 1746                             "," Me IRL                 "," https://www.facebook.com/Memopolis-450474615151098/                      ",": United States                                           Interests: CollegeHumor, BuzzFeed or 9GAG                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 554                           "," 77                           "," 100.00 RUB                 "," 04/19/16 12:04:53 AM PDT                      Ad End Date 04/22/16 12:04:52 AM PDT ",2016-04-19,16910
"274"," 1750                             "," Word!                 "," https://www.facebook.com/Memopolis-450474615151098/                      ",": United States                                           Interests: CollegeHumor, BuzzFeed or 9GAG                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 1,113                           "," 130                           "," 99.00 RUB                 "," 04/18/16 04:20:26 AM PDT                      Ad End Date 04/21/16 04:20:26 AM PDT ",2016-04-18,16909
"275"," 1754                             "," Welcome to America!                 "," https://www.facebook.com/Memopolis-450474615151098/                      ",": United States                                           Interests: CollegeHumor, BuzzFeed or 9GAG                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 466                           "," 52                           "," 100.00 RUB                 "," 04/13/16 12:29:58 AM PDT                      Ad End Date 04/14/16 12:29:58 AM PDT ",2016-04-13,16904
"276"," 1755                             "," When you have a Bentley steering wheel In a Jeep.                 "," https://www.facebook.com/Memopolis-450474615151098/                      ",": United States                                           Interests: CollegeHumor, BuzzFeed or 9GAG                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 497                           "," 58                           "," 100.00 RUB                 "," 04/13/16 12:29:32 AM PDT                      Ad End Date 04/14/16 12:29:31 AM PDT ",2016-04-13,16904
"277"," 1756                             "," I will evolve into my feline form.                 "," https://www.facebook.com/Memopolis-450474615151098/                      ",": United States                                           Interests: CollegeHumor, BuzzFeed or 9GAG                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 190                           "," 42                           "," 100.00 RUB                 "," 04/12/16 08:30:26 AM PDT                      Ad End Date 04/13/16 08:30:26 AM PDT ",2016-04-12,16903
"278"," 1777                            "," What a savage               "," https://www.facebook.com/Memopolis-45047 4615151098/                     ",": United States                                          Interests: CollegeHumor, BuzzFeed or 9GAG                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                  "," 77                          "," 9                         "," 64.29 RUB               "," 04/18/16 04: 16:25 AM PDT                     Ad End Date 04/21 /16 04: 16:23 AM PDT ",2016-04-18,16909
"279"," 1778                             "," Unless payer 2 is top screen, then exceptions are made.                 "," https://www.facebook.com/Memopolis-450474615151098/                      ",": United States                                           Interests: CollegeHumor, BuzzFeed or 9GAG                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 1,851                           "," 192                           "," 100.00 RUB                 "," 04/15/16 08:16:00 AM PDT                      Ad End Date 04/18/16 01:56:01 PM PDT ",2016-04-15,16906
"280"," 1782                             "," Been there done that                 "," https://www.facebook.com/Memopolis-450474615151098/                      ",": United States                                           Interests: CollegeHumor, BuzzFeed or 9GAG                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 400                           "," 33                           "," 75.02 RUB                 "," 04/11/16 08:45:29 AM PDT                      Ad End Date 04/12/16 11:33:01 AM PDT ",2016-04-11,16902
"281"," 1783                            "," Parenting goals               "," https://www.facebook.com/Memopolis-45047 4615151098/                     ",": United States                                          Interests: CollegeHumor, BuzzFeed or 9GAG                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                  "," 575                          "," 70                         "," 99.99 RUB               "," 04/11/16 06:39:05 AM PDT                     Ad End Date 04/12/16 06:39:05 AM PDT ",2016-04-11,16902
"282"," 1789                             "," No sleep, grades are struggling, flat broke, stressed to the max. Homesick,                                          just done adulting. That's basically everything you feel after your first year of                                          college.                 "," https://www.facebook.com/Memopolis-450474615151098/                      ",": United States                                          Interests: CollegeHumor, BuzzFeed or 9GAG                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 2,079                           "," 245                           "," 289.13 RUB                 "," 04/21/16 02:21:58 AM PDT                      Ad End Date 04/24/16 02:21:57 AM PDT ",2016-04-21,16912
"283"," 1791                             "," Sunday Bunday                 "," https://www.facebook.com/Memopolis-450474615151098/                      ",": United States                                           Interests: CollegeHumor, BuzzFeed or 9GAG                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 473                           "," 79                           "," 90.07 RUB                 "," 04/20/16 02:45:58 AM PDT                      Ad End Date 04/23/16 02:45:58 AM PDT ",2016-04-20,16911
"284"," 1792                             "," Then they ask u to stay late...                 "," https://www.facebook.com/Memopolis-450474615151098/                      ",": United States                                           Interests: CollegeHumor, BuzzFeed or 9GAG                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                   "," 739                           "," 94                           "," 89.47 RUB                 "," 04/20/16 02:45:21 AM PDT                      Ad End Date 04/23/16 02:45:21 AM PDT ",2016-04-20,16911
"285"," 1868                            "," Hey, everyone!?                                          You know, a great number of black people support us saying that                                          #HillaryClintonlsNotMyPresident! So this time we would like to make a                                          #flashmob against #HillaryClinton because she is the real enemy of black                                          community and our followers prove it showing their disgrace to her personality                                          and policy. That's why we ask you to do the same and send your photos to                                          us. Why? Because we want to live in a better future and Hillary is not the                                          person who will help us in getting justice and peace by all means!                                          Dear followers, if you agree, just don't be ignorant to your future in America,                                          join our flashmob and take a photo with #HillaryClintonForPrison2016 or                                          #nohillary2016 and tag @blackmattersus!?                                          Looking forward to your photos?? BlackMattersUS AmericanCops               "," https://www.instagram.com/blackmattersus/                     ",": United States                                          Age: 13 - 65+                                          Language: English (UK) or English (US)                                          Placements: lnstagram Feed                                          People Who Match: Interests: Donald Trump, Multicultural Affinity: African                                          American (US)                  "," 21,555                          "," 67                         "," 1,953.63 RUB               "," 04/06/16 04:26:42 AM PDT ",2016-04-06,16897
"286"," 1908                            "," Do you support Trump? Wanna #MakeAmericaGreatAgain? Wanna see your                                          kid on our account? Take pictures, make videos, send them to us via DM or                                          tag #KIDS4TRUMP and we'll make a patriotic team of young Trump                                          supporters here! I'm sure it'll be great!                                          It would be nice if you tell us why your kid supports Donald Trump and what                                          are his or her thoughts about #Elections2016. Let's have some fun! Don't stay                                          aside! Tea Party News (@tea Teapartypat               "," https://www.instagram.com/tea_party_news/                     ",": United States                                          Age: 13 - 65+                                          Placements: lnstagram Feed                                          People Who Match: Interests: The Tea Party, Donald Trump, donald j trump,                                          Donald Trump for President, lvanka Trump Fine Jewelry or Donald Trump Jr.                  "," 279                          "," 1                         "," 1.32 RUB               "," 04/19/16 08: 12:20 AM PDT ",2016-04-19,16910
"287"," 1909                            "," Do you support Trump? Wanna #MakeAmericaGreatAgain? Wanna see your                                          kid on our account? Take pictures, make videos, send them to us via DM or                                          tag #KIDS4TRUMP and we'll make a patriotic team of young Trump                                          supporters here! I'm sure it'll be great!                                          It would be nice if you tell us why your kid supports Donald Trump and what                                          are his or her thoughts about #Elections2016. Let's have some fun! Don't stay                                          aside! Tea Party News (@tea Teapartypat               "," https://www.instagram.com/tea_party_news/                     ",": United States                                          Age: 13 - 65+                                          Placements: lnstagram Feed                                          People Who Match: Interests: The Tea Party, Donald Trump, donald j trump,                                          Donald Trump for President, lvanka Trump Fine Jewelry or Donald Trump Jr.                  "," 165,121                          "," 78                         "," 9,970.58 RUB               "," 04/21/16 12:28:18 AM PDT ",2016-04-21,16912
"288"," 1912                            "," Do you support Trump? Wanna #MakeAmericaGreatAgain? Wanna see your                                          kid on our account? Take pictures, make videos, send them to us via DM or                                          tag #KIDS4TRUMP and we'll make a patriotic team of young Trump                                          supporters here! I'm sure it'll be great!                                          It would be nice if you tell us why your kid supports Donald Trump and what                                          are his or her thoughts about #Elections2016. Let's have some fun! Don't stay                                          aside! Tea Party News Teapartypat               "," https://www.instagram.com/tea_party_news/                     "," - Living In: United States                                          Age: 13 - 65+                                          Placements: lnstagram Feed                                          People Who Match: Interests: Donald Trump for President                  "," O                          "," O                         "," 0.00               "," 04/19/16 08:08:19 AM PDT ",2016-04-19,16910
"289"," 1913                            "," Do you support Trump? Wanna #MakeAmericaGreatAgain? Wanna see your                                          kid on our account? Take pictures, make videos, send them to us via DM or                                          tag #KIDS4TRUMP and we'll make a patriotic team of young Trump                                          supporters here! I'm sure it'll be great!                                          It would be nice if you tell us why your kid supports Donald Trump and what                                          are his or her thoughts about #Elections2016. Let's have some fun! Don't stay                                          aside! Tea Party News Teapartypat               "," https://www.instagram.com/tea_party_news/                     "," - Living In: United States                                          Age: 13 - 65+                                          Placements: lnstagram Feed                                          People Who Match: Interests: Tea Party movement, The Tea Party, Tea Party                                          Patriots, Americans for Prosperity, donald j trump, Donald Trump for                                          President or Donald Trump Jr.                  "," 0                          "," O                         "," 0.00               "," 04/19/16 08:05:39 AM PDT ",2016-04-19,16910
"290"," 1914                            "," Do you support Trump? Wanna #MakeAmericaGreatAgain? Wanna see your                                          kid on our account? Take pictures, make videos, send them to us via DM or                                          tag #KIDS4TRUMP and we'll make a patriotic team of young Trump                                          supporters here! I'm sure it'll be great!                                          It would be nice if you tell us why your kid supports Donald Trump and what                                          are his or her thoughts about #Elections2016. Let's have some fun! Don't stay                                          aside! Tea Party News Teapartypat               "," https://www.instagram.com/tea_party_news/                     "," - Living In: United States                                          Age: 13 - 65+                                          Placements: lnstagram Feed                                          People Who Match: Interests: Donald Trump for President                  "," O                          "," O                         "," 0.00               "," 04/19/16 08:07:22 AM PDT ",2016-04-19,16910
"291"," 1917                            "," This is the way our children have to be raised. It's not the promotion of                                          violence. It's the promotion of confidence and the ability to defend yourself.                                          Follow us if this video makes you proud!               "," https://www.facebook.com/Teapartypat-1649468318669272/                     ",": United States                                          Age: 13 - 65+                                          Placements: lnstagram Feed                                          People Who Match: Interests: The Tea Party, Conservative Republicans of                                          Texas or Donald Trump for President                  "," 108,433                          "," 857                         "," 17,306.95 RUB               "," 04/22/16 10:43:02 AM PDT ",2016-04-22,16913
"292"," 1941                            "," Join Us! Support The Police!               "," https://www.facebook.com/Libelibe-1484239251885741/                     ",": United States                                          Age: 13 - 65+                                          Placements: lnstagram Feed                                          People Who Match: Interests: Police, Police officer or Safety                  "," 418,904                          "," 9,211                         "," 26,598.49 RUB               "," 04/13/16 09: 15:28 AM PDT ",2016-04-13,16904
"293"," 534                             "," Stand for the people not the Government! Join the rally in Atlanta this Sunday!                                          American Crusade - Ga                 "," https://www.facebook.com/events/I678907209017708/                      ",": United States: Atlanta (+50 km) Georgia                                          Age: 18 - 59                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          People Who Match: Interests: Independence or Patriotism                   "," 5                           "," 0                           "," 10.68 RUB                 "," 04/13/16 03:24:02 AM PDT ",2016-04-13,16904
"294"," 770                             "," CHICAGO MAN SPENT 10 YEARS IN PRISON ON DRUG CHARGES                                           BECAUSE COPS LIED UNDER OATH ABOUT THE CASE.                                          Jermaine Walker was arrested and sent to prison after the police officers and                                          a state's attorney investigator had LIED UNDER OATH. They said that there                                          was no surveillance camera in the alley where they arrested him ; even though                                           it was and Walker said that! It's another prove that if you are black in this                                          country; you are never safe. You can be arrested killed or imprison literally for                                          the color of your skin.                                           Walker's attorney said that Walker can obtain up to $170,000 for the time he                                          spent in prison, but is it a good price for the 10 years of his life?!                                          These bastards ruined this man's life and proved once again that there is not                                          justice in this country!                 "," https://www.facebook.com/WilliamsKalvin-788980617892144/                      ",": United States                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          People Who Match: People who like Williams&Kalvin, Friends of connections:                                           Friends of people who are connected to Williams&Kalvin                   "," 0                           "," 0                           "," None                 "," 04/21/16 12:09:10 AM PDT                      Ad End Date 04/22/16 12:09:09 AM PDT ",2016-04-21,16912
"295"," 804                             "," We are proud to be black and stand for our community! Join to end the racism                                          in the US.                 "," https://www.facebook.comnVilliam sandKaIvin                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          People Who Match: Interests: Black (Color) or Racism in the United States                   "," 185,599                           "," 10,575                           "," 48,378.85 R U B                 "," 04/13/16 04:42:55 AM PDT ",2016-04-13,16904
"296"," 455                             "," Stop federal overreach! Stand for the patriots in a protest rally in Atlanta, GA!                                          American Crusade - Ga                 "," https://www.facebook.com/events/I678907209017708/                      ",": United States: Atlanta (+50 km) Georgia                                          Age: 18 - 59                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          People Who Match: Interests: Independence or Patriotism                   "," 16                           "," 0                           "," 12.46 RUB                 "," 04/13/16 03:23:42 AM PDT ",2016-04-13,16904
"297"," 512                             "," Stand for the people not the Government! Join the rally in Atlanta this Sunday!                                          American Crusade - Ga                 "," https://www.facebook.com/events/I678907209017708/                      ",": United States: Atlanta (+50 km) Georgia                                          Age: 18 - 59                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          People Who Match: Interests: Independence or Patriotism                   "," 20                           "," 0                           "," 21.50 RUB                 "," 04/13/16 03:23:58 AM PDT ",2016-04-13,16904
"298"," 871                             "," No wonder white boys don't get shot when they're arrested':                 "," https://www.facebook.com/WilliamsKalvin-788980617892144/                      ",": United States                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          People Who Match: People who like Williams&Kalvin, Friends of connections:                                           Friends of people who are connected to Williams&Kalvin                   "," 7                           "," 2                           "," 3.47 RUB                 "," 04/21/16 12:09:49 AM PDT                      Ad End Date 04/22/16 12:09:49 AM PDT ",2016-04-21,16912
"299"," 872                             "," The statistics show that nationwide 15 percent of Black students receive                                          suspensions, comparing with 4 percent of white students.                                          In some state, the numbers are even more disturbing. For example,                                          Wisconsin suspended 26.6 percent of Black students compared to the 3                                           percent of white students. Also in Minnesota, Connecticut, Iowa and                                           Nebraska black students were six times more likely than white students to be                                          suspended from school.                                          The racism in education is the reason why the school-to-prison pipeline                                          exists.                                          Our kids cannot even get a proper education, no wonder the success rate                                          among black students is low. Somehow white people still think that education                                          is only their privilege.                 "," https://www.facebook.com/WilliamsKalvin-788980617892144/                      ",": United States                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          People Who Match: People who like Williams&Kalvin, Friends of connections:                                          Friends of people who are connected to Williams&Kalvin                   "," 467                           "," 44                           "," 100.00 RUB                 "," 04/15/16 01:21:41 AM PDT                      Ad End Date 04/16/16 01:21:41 AM PDT ",2016-04-15,16906
"300"," 873                             "," We are proud to be black and stand for our community! Join to end the racism                                          in the US.                 "," https://www.facebook.comnVil liam sKalvin-788980617892144/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          People Who Match: Interests: Black (Color) or Racism in the United States                   "," 113                           "," 0                           "," 68.22 RUB                 "," 04/13/16 04:42:49 AM PDT ",2016-04-13,16904
"301"," 879                             "," We are proud to be black and stand for our community! Join to end the racism                                          in the US.                 "," https://www.facebook.comnVil liam sKalvin-788980617892144/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          People Who Match: Interests: Black (Color) or Racism in the United States                   "," 89                           "," 1                           "," 45.44 RUB                 "," 04/13/16 04:42:40 AM PDT ",2016-04-13,16904
"302"," 883                             "," Information is your strongest weapon. Know the truth and stand against the                                          racism in US.                 "," https://www.facebook.comnVilliam sandKaIvin                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          People Who Match: Interests: Black (Color) or Racism in the United States                   "," 438                           "," 9                           "," 177.50 RUB                 "," 04/13/16 04:45:58 AM PDT ",2016-04-13,16904
"303"," 885                             "," We are proud to be black and stand for our community! Join to end the racism                                          in the US.                 "," https://www.facebook.comnVil liam sKalvin-788980617892144/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          People Who Match: Interests: Black (Color) or Racism in the United States                   "," 32                           "," 0                           "," 13.64 RUB                 "," 04/13/16 04:42:59 AM PDT ",2016-04-13,16904
"304"," 888                             "," Information is your strongest weapon. Know the truth and stand against the                                          racism in US.                 "," https://www.facebook.comnVil liam sKalvin-788980617892144/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          People Who Match: Interests: Black (Color) or Racism in the United States                   "," 33                           "," 0                           "," 18.16 RUB                 "," 04/13/16 04:45:52 AM PDT ",2016-04-13,16904
"305"," 891                             "," It's time to wake up and break our chains! Together we will find our way to                                          freedom.                 "," https://www.facebook.comnVil liam sKalvin-788980617892144/                      ",": United States                                          Excluded Connections: Exclude people who like Williams&Kalvin                                          Age: 18 - 45                                          Language: English (UK)or English (US)                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          People Who Match: Interests: Black (Color) or Racism in the United States                   "," 134                           "," 2                           "," 66.41 RUB                 "," 04/13/16 04:44:11 AM PDT ",2016-04-13,16904
"306"," 893                             "," When will people stop seeing the skin color only? I'm tired of labels!                 "," https://www.facebook.com/WilliamsKalvin-788980617892144/                      ",": United States                                          Age: 18 - 65+                                          Placements: News Feed on desktop computers or News Feed on mobile                                          devices                                          People Who Match: People who like Williams&Kalvin, Friends of connections:                                           Friends of people who are connected to Williams&Kalvin                   "," 20                           "," 2                           "," 28.84 RUB                 "," 04/12/16 09:29:53 AM PDT                      Ad End Date 04/13/16 09:29:52 AM PDT ",2016-04-12,16903
"307"," 1742                      "," Tbh I believe in you          "," https://www.facebook.com/Memopolis-45047 4615151098/               ",": United States                                   Interests: CollegeHumor, BuzzFeed or 9GAG                                   Age: 18 - 65+                                   Placements: News Feed on desktop computers or News Feed on mobile                                   devices            "," 792                    "," 122                   "," 88.02 RUB          "," 04/20/16 02:45:42 AM PDT                Ad End Date 04/23/16 02:45:42 AM PDT ",2016-04-20,16911
"308"," 4                       "," Don't Shoot is a community site where you can find recent videos about                                    outrageous police misconduct, really valuable ones but underrepresented by                                    mass media. We provide you with first-hand stories and diverse videos. Join                                    us! Click Learn more!            "," https://www.facebook.com/Blacklivessss-930158090385628/                 ",": United States                                    Age: 13 - 44                                    Language: English (US)                                    Placements: Instagram Feed                                    People Who Match: Interests: Cop Block              "," 14,311                     "," 33                    "," 7,575.66 RUB            "," 04/19/16 07:49:45 AM PDT ",2016-04-19,16910
"309"," 23                       "," TAG YOUR PHOTOS WITH #TXagainst Send us the reason why don't you                                    want illegals in Texas.                                    Comments, photos, and videos are welcomed!            "," https://www.facebook.com/GovSpending-1651761351759857/                 ",": United States                                    Interests: Independence or Patriotism                                    Age: 18 - 65+                                    Language: English (US)                                    Placements: Instagram Feed              "," 10,785                     "," 6                    "," 806.09 RUB            "," 04/19/16 08:23:46 AM PDT ",2016-04-19,16910
"310"," 74                       "," Black Community! We finally made a website! News about black racial and                                    social issues. This happened yesterday, Feb. 2, at a dry cleaning shop in a                                    black neighborhood, when this black guy went for his clothes he had already                                    sent for laundry. ""What do you mean by you people?"" The black guy asked.                                    There was a murmur from inside the shop; the dry cleaner answered ""those                                    who are arguing m... Black Matters The Police should protect not Brutalize                                    Ideally Black Women... S. F. Police Vow To Eradicate Racism Plans to fight                                    racism in the ranks.. Black History Month The event grew out of ""Negro                                    History Week,"" the brainchild Black Matters            "," https://blackmattersus.com/                 ",": United States                                    Friends of connections: Friends of people who are connected to Black Matters                                    Age: 18 - 54                                    Language: English (UK)or English (US)                                    Placements: Third-party Apps and Websites on mobile devices or News Feed                                    on mobile devices                                    People Who Match: Behaviors: African American (US)                                    And Must Also Match: Interests: BlackNews.com or HuffPost Black Voices              "," 42,072                     "," 1,805                    "," 10,676.85 RUB            "," 04/25/16 05:36:07 AM PDT ",2016-04-25,16916
"311"," 96                       "," Counter-protest against 'White Power' Confederate rally at Stone Mountain                                    Not My Heritage            "," https://www.facebook.com/events/1579032272388106/                 ",": United States: Atlanta (+20 km) Georgia                                    Age: 18 - 50                                    Placements: News Feed on desktop computers or News Feed on mobile                                    devices              "," 54.463                     "," 2,813                    "," 14.912.81 RUB            "," 04/06/16 08:41:45 AM PDT                 Ad End Date 04/24/16 10:41:00 PM PDT ",2016-04-06,16897
